"","year","year_code","country_name","country_code","gdp","foreign_inv_inflows","life_exp","exports_perc_gdp","inflation_perc","education_years","education_perc_gdp","gds_perc_gdp","gross_savings_perc_gdp","int_tourism_arrivals","int_tourism_receipts","gni","perc_internet_users","hdi","hdi_cat"
"16",2020,"YR2020","Belgium","BEL",257157820440.429,18118954671.3727,78.0756097560976,70.8312976956765,1.64521436175359,12,5.79585981369019,26.3248478806862,26.3637538782916,6720000,7.598e+09,261601919819.311,46.33,0.931,"very high"
"17",2020,"YR2020","Belize","BLZ",925050000,25461176.8782397,69.272,52.988670882655,8.60912474386329,8,5.33630990982056,6.3758445489433,3.76380201882685,2e+05,1.21e+08,857568850,5.68425,0.716,"high"
"18",2020,"YR2020","Benin","BEN",4174634520.35486,-19395622.6954977,56.025,19.726610778332,2.4891623549154,6,2.15949010848999,10.5185058688766,13.631081215314,72000,94500000,4146494876.0969,0.702946,0.545,"low"
"19",2020,"YR2020","Bhutan","BTN",520849551.532606,2425411.8983,62.728,24.6140541985654,2.48343048790224,9,6.60906982421875,32.7603735651493,34.6244320847863,5600,8e+06,512806665.295207,1.6758,0.654,"medium"
"20",2020,"YR2020","Bolivia","BOL",7905485216.17852,676543000,63.64,21.6344550697626,0.928258851611061,8,5.37522983551025,10.2133241561052,12.2970672217791,334000,1.43e+08,7700785216.17852,3.11719,0.718,"high"
"21",2020,"YR2020","Bosnia and Herzegovina","BIH",6651106833.49374,267769568.956599,74.803,24.3478518196947,7.42704310332954,8,3.42430996894836,-12.4144587484565,11.1702578946148,160000,3.07e+08,7159190134.74495,2.64827,0.78,"high"
"22",2020,"YR2020","Botswana","BWA",5438857106.73536,407997828.632639,50.232,52.1574267782427,8.03279662527486,8,10.6785898208618,40.2455253370525,31.434570798765,1274000,3.24e+08,4740668162.71058,3.38592,0.735,"high"
"23",2020,"YR2020","Brazil","BRA",507962487700.024,16586600193.114,70.813,14.2305902713775,8.4501643770833,8,3.75037002563477,18.2919026240197,15.4075368110728,3785000,2.142e+09,490921176362.21,9.14943,0.765,"high"
"24",2020,"YR2020","Brunei Darussalam","BRN",5843329107.56171,229671955.675395,73.332,67.1218302942605,-2.3149724245932,9,2.04661011695862,47.229130783101,45.7021633571297,119000,1.13e+08,5843329107.56171,15.3299,0.838,"very high"
"25",2020,"YR2020","Bulgaria","BGR",16402846413.0958,904659791.087722,71.8658536585366,33.6473037196123,5.81014365721823,9,3.38608002662659,12.5540173047927,17.9851935768516,3433000,1.392e+09,16746346413.0958,9.08,0.816,"very high"
"26",2020,"YR2020","Burkina Faso","BFA",3622350203.94595,15026083.6628,51.384,8.86536563219181,2.17569480664608,10,3.94113993644714,-0.130106710683566,5.85370029893315,150000,3.7e+07,3588060318.58699,0.200993,0.452,"low"
"27",2020,"YR2020","Burundi","BDI",825394490.159111,0,50.81,4.68580418118256,-1.36568005328061,6,3.00493001937866,-8.35356084580785,4.20017398723749,74000,1600000,811709078.127599,0.118228,0.433,"low"
