Time,Time Code,Country Name,Country Code,GDP (current US$),Gini index (World Bank estimate),"Foreign direct investment, net inflows (BoP, current US$)","Life expectancy at birth, total (years)",Exports of goods and services (% of GDP),Poverty headcount ratio at national poverty lines (% of population),"Inflation, consumer prices (annual %)","Compulsory education, duration (years)","Government expenditure on education, total (% of GDP)","Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)","Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","Educational attainment, at least completed post-secondary, population 25+, total (%) (cumulative)",Arms imports (SIPRI trend indicator values),Fossil fuel energy consumption (% of total),Gross domestic savings (% of GDP),Gross savings (% of GDP),Human capital index (HCI) (scale 0-1),Research and development expenditure (% of GDP),"International tourism, number of arrivals","International tourism, receipts (current US$)","International tourism, number of departures",GNI (current US$),Individuals using the Internet (% of population)
2002,YR2002,Greenland,GRL,1169138789.31435,..,..,68.1626829268293,..,..,..,..,..,..,..,..,..,..,..,..,..,0.55628,..,..,..,1138485312.93146,44.1548
2002,YR2002,Grenada,GRD,540336925.925926,..,54488888.8888889,72.929,31.9471451865732,..,1.06721547992871,12,..,..,..,..,..,..,..,..,..,..,132000,91000000,..,492740296.296296,14.7588
2002,YR2002,Guam,GUM,3385000000,..,..,75.726,21.3293943870015,..,..,..,..,..,..,..,..,..,..,..,..,..,1059000,..,..,..,31.1923
2002,YR2002,Guatemala,GTM,20776403774.1156,..,-1016996773.78154,68.717,26.2989453879915,..,8.13263054281055,16,..,..,17.1474800109863,4.20162010192871,..,44.3008727826125,7.11995724801602,15.0996264296026,..,..,..,647000000,..,20458031821.7267,3.39175
2002,YR2002,Guinea,GIN,2950198648.95191,43,30000000,51.484,26.4778105826218,..,..,6,2.59386992454529,..,..,..,..,..,12.0456949047789,12.4970457655864,..,..,43000,..,..,2917567837.24503,0.402023
2002,YR2002,Guinea-Bissau,GNB,417806667.07798,35.6,3545253.68893724,51.123,17.8331205708016,64.7,3.30012175283749,9,..,..,..,..,..,..,0.0889646285166196,5.7874123498623,..,..,..,2300000,..,409024939.98961,1.02299
2002,YR2002,Guyana,GUY,726131434.715338,..,43600000,65.828,92.3031854232478,..,5.34101521377409,6,8.36553955078125,..,31.1933898925781,2.26873993873596,2000000,..,8.74179151211088,6.67718740305465,..,..,104000,53000000,..,671139695.277057,13.207
2002,YR2002,Haiti,HTI,6106867933.51625,..,5700000,57.655,6.39083233256578,..,7.03287406224597,6,..,..,..,..,..,24.9627355929003,-4.54217720299958,7.58080487460296,..,..,140000,108000000,..,6093542438.59928,0.893433
2002,YR2002,Honduras,HND,7858235333.4834,55.7,287314900,71.249,52.730582054494,..,7.69050972034273,9,..,..,..,..,..,53.5527281427819,11.7221479856248,18.693826166537,..,0.04181,550000,305000000,279000,7559818946.16447,2.5974
2002,YR2002,"Hong Kong SAR, China",HKG,166349228737.386,..,6747855220.81764,81.4268292682927,132.076763164041,..,-2.98313878080416,9,4.01554012298584,..,..,..,..,94.3333021944684,31.338021383738,31.0734051216059,..,0.58147,10689000,9849000000,64540000,167425021477.388,43.0824
2002,YR2002,Hungary,HUN,67608919144.3684,..,3643428379.51995,72.3487804878049,58.1369735753857,..,5.26544821583986,13,5.17923021316528,..,..,..,..,80.791825677513,23.5572571741001,18.5437114414915,..,0.98198,..,3774000000,..,63764742792.0142,16.67
2002,YR2002,Iceland,ISL,9294652008.41791,..,91905493.0570106,80.5024390243903,35.531990636539,..,5.1970223021663,10,7.31757020950317,..,..,..,..,23.0859758132971,21.3679002418981,21.8361826189633,..,2.82841,285000,415000000,..,9333442133.41014,79.12
2002,YR2002,India,IND,514937948870.08,..,5208967106.27894,63.304,14.2643839244292,..,4.29715203929568,..,..,..,..,..,2031000000,64.329205786967,25.6562581756764,28.1114855753156,..,0.72567,2384000,3300000000,4940000,511490036313.605,1.53788
2002,YR2002,Indonesia,IDN,195660611165.183,31.7,145085548.722222,66.321,32.6876208878375,18.2,11.9001175663779,9,2.64568996429443,..,..,..,68000000,62.5492538730196,25.1203046337826,23.0174077823404,..,..,5033000,5797000000,3231000,189806032770.414,2.13414
2002,YR2002,"Iran, Islamic Rep.",IRN,128626917503.72,..,3519380360,70.921,24.4139021536457,..,14.3359337378404,5,4.48487997055054,..,..,..,435000000,99.4072834904241,41.6883268543639,..,..,0.49558,..,1607000000,..,128988717503.72,4.62618
2002,YR2002,Iraq,IRQ,..,..,-326000,68.827,70.5700515170938,..,19.316694601979,6,..,..,..,..,..,99.7209951932265,56.4229172977061,..,..,..,..,45000000,..,..,0.5
2002,YR2002,Ireland,IRL,127949874835.31,..,29323796527.2222,77.6341463414634,90.4749947773064,..,4.614733276884,10,4.10604000091553,..,..,..,22000000,91.4591391780774,39.433822873345,..,..,1.05605,6476000,4228000000,4634000,107267633163.938,25.85
2002,YR2002,Isle of Man,IMN,1947332921.74718,..,..,77.9658536585366,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2022014199.72218,..
2002,YR2002,Israel,ISR,121123828570.222,..,1582500000,79.4512195121951,32.8855197772594,..,5.74146981627295,11,6.46638011932373,..,..,..,349000000,96.910142228797,17.9098759153956,20.1032577369961,..,4.13345,861900,2426000000,3273000,116995236607.708,17.7646
